Species	Species_name	average_activenodes_perplot	Secretoryarea_perplantnode_mm2	promoter_all_ants	receptor_all_ants	promoter_dominant	receptor_dominant	promoter_subordinate	receptor_subordinate
sp01	A_adenophorum	0.25	1.6	0.03	0.76	0.028615945	0.757693763	0	0
sp02	A_bracteosum	0.18	2.5	0	0	0	0	0	0
sp03	A_flaviforum	0.07	2.6	0	0	0	0	0	0
sp04	A_japurensis	0.04	1.1	0	0	0	0	0	0
sp05	A_longilinium	2.26	11.5	1.35	0.34	1.228120918	0.31691344	0.031752122	0.86905916
sp06	A_moringifolium	1.42	2.9	1.06	0.39	1.021602786	0.362690874	0.031528118	0.041542671
sp07	A_validum	0.39	2.8	0.47	0.48	0.206897046	0.339776525	0.14153605	0.262796859
sp08	A_tanaeciircapum	0.34	11.4	0.42	0.51	0.272449848	0.380215781	0.132209406	0.151863386
sp09	A_parkeri	0.04	2.5	0	0	0	0	0	0
sp10	A_robustum	0.63	17.9	0	0	0	0	0	0
sp11	B_aequinoctialis	0.29	4.4	0.22	0.77	0	0	0.765625	0.234375
sp12	B_prieuri	0.07	3.9	0	0	0	0	0	0
sp13	C_latifolia	0.14	0	0	0	0	0	0	0
sp14	F_trailli	1.18	15.7	0.77	0.22	0	0	0.455228365	0.765625
sp15	F_nigrescens	0.57	1.7	0	0	0	0	0	0
sp16	F_prancei	1.18	11.2	0.04	0	0.03960396	0.003520352	0	0
sp17	F_triplinervia	0.46	2.3	0.23	0.43	0.116143669	0.281976244	0.148061105	0.111801242
sp18	P_aromatica	0.75	10.8	0.03	0.14	0.030350196	0.142537527	0.75	0.008823529
sp19	P_albiflora	0.21	5.2	0	0	0	0	0	0
sp20	P_melioides	0.11	3.7	0.18	0.47	0.18087354	0.473988439	0	0
sp21	T_panurensis	0.82	2.9	0.13	0.4	0.015077254	0.080422217	0.321675701	0.331729018
