Species	Specie_name	mean_herb_sp	total_leaflets_sampled_sp	mean_prop_leaflets_herb_sp	promoter_all_ants	receptor_all_ants	promoter_dominant	receptor_dominant	promoter_subordinate	receptor_subordinate
1	Adenocalymma_adenophorum	0.235233132	78	0.421264368	0.028615945	0.757693763	0.028615945	0.757693763	0	0
2	Adenocalymma_cf_bracteosum	28.33333333	52	1	0	0	0	0	0	0
3	Adenocalymma_flaviflorum	0.038116592	15	0.4	0	0	0	0	0	0
4	Adenocalymma_japurensis	0.037106309	12	0.25	0	0	0	0	0	0
5	Adenocalymma_longilinium	2.065003719	636	0.638087764	1.347180077	0.339842032	1.228120918	0.31691344	0.022928592	0.11905916
6	Adenocalymma_moringifolium	1.94750394	410	0.410555556	1.063145458	0.394218992	1.021602786	0.362690874	0.031528118	0.041542671
7	Adenocalymma_validum	0.039602184	91	0.410956351	0.469693905	0.481312576	0.206897046	0.339776525	0.14153605	0.262796859
8	Adenocalymma_tanaeciicarpum	0.021468418	87	0.310115187	0.424313234	0.512425186	0.272449848	0.380215781	0.132209406	0.151863386
9	Amphilophium_parkeri	13	4	1	0	0	0	0	0	0
10	Anemopaegma_robustum	0.048035375	80	0.251821789	0	0	0	0	0	0
11	Bignonia_aequinoctialis	10.00869161	16	0.6875	0.220853365	0.765625	0	0	0.765625	0.234375
12	Bignonia_prieurei	0.045454545	23	0.47826087	0	0	0	0	0	0
13	Calichlamys_latifolia	3.250912492	29	0.751633987	0	0	0	0	0	0
14	Fridericia_cf_trailli	0.059638789	32	0.347222222	0.765625	0.220853365	0	0	0.234375	0.765625
15	Fridericia_nigrescens	4.4	36	0.721428571	0	0	0	0	0	0
16	Fridericia_prancei	18.81974081	25	0.645833333	0.03960396	0.003520352	0.03960396	0.003520352	0	0
17	Fridericia_triplinervia	8.508842444	20	0.636363636	0.227944911	0.430037348	0.116143669	0.281976244	0.148061105	0.111801242
18	Pachyptera_aromatica	2.171783894	80	0.691798942	0.030350196	0.142537527	0.030350196	0.142537527	0	0
19	Pleonotoma_albiflora	0.010457297	17	0.230769231	0	0	0	0	0	0
21	Tynanthus_panurensis	28.57673655	12	1	0.125952907	0.402097917	0.015077254	0.080422217	0.321675701	0.110875652
